"DATE/TIME","TYPE","ORDER#","TRADE#","REL. ORDER#","PRODUCT","UNITS/AMT","PRICE","BOUNDARY PRICE","STOP LOSS","TAKE PROFIT","MARGIN (AUD)","CONVERSION RATE","VALUE (AUD)","AMOUNT (AUD)","BALANCE (AUD)","AMOUNT EXCLUDING FEE","FEE","HOLDING COST - AMOUNT","HOLDING RATE","HOLDING COST (AUD)","HOLDING COST - TOTAL (AUD)","PREMIUM","REFUND %","TARGET","WIN PAYOUT","DRAW PAYOUT","OPEN","EXPIRY","SETTLEMENT","SETTLEMENT PRICE","RESULT","PAYOUT","TYPE","EXPIRY","STRIKE PRICE","SETTLEMENT","SETTLEMENT PRICE","PROFIT","LOSS"
"25 May 2026 11:21:02","Commission Charge","1598266562","-","O4-FF-9HSL39","Macmahon Holdings Ltd","4,500 Uts","-","-","-","-","-","-","-","-7.00","18,919.27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 11:21:02","Buy Trade","O4-FF-9HSL39","T4-FF-6Q0Z8Y","-","Macmahon Holdings Ltd","4,500 Uts","0.885","-","0.855","-","-","1","3,982.50","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:35:25","Commission Charge","1598251981","-","O4-FF-9HSGCB","Megaport Ltd","1,000 Uts","-","-","-","-","-","-","-","-11.85","18,926.27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:35:25","Buy Trade","O4-FF-9HSGCB","T4-FF-6Q0W1K","-","Megaport Ltd","1,000 Uts","13.170","-","12.540","-","-","1","13,170.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:25:19","Commission Charge","1598249837","-","O4-FF-9HSFP6","Artrya Ltd","2,000 Uts","-","-","-","-","-","-","-","-8.87","18,938.12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:25:19","Buy Trade","O4-FF-9HSFP6","T4-FF-6Q0VK4","-","Artrya Ltd","2,000 Uts","4.930","-","4.550","-","-","1","9,860.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:22:30","Commission Charge","1598248837","-","O4-FF-9HSFHZ","Minerals 260 Ltd","20,000 Uts","-","-","-","-","-","-","-","-15.66","18,946.99","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:22:30","Buy Trade","O4-FF-9HSFHZ","T4-FF-6Q0VD7","-","Minerals 260 Ltd","20,000 Uts","0.870","-","0.805","-","-","1","17,400.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:14:19","Commission Charge","1598246892","-","O4-FF-9HSF2B","Iluka Resources Ltd","2,000 Uts","-","-","-","-","-","-","-","-14.67","18,962.65","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:14:19","Buy Trade","O4-FF-9HSF2B","T4-FF-6Q0V12","-","Iluka Resources Ltd","2,000 Uts","8.150","-","7.500","-","-","1","16,300.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:13:24","Commission Charge","1598246739","-","O4-FF-9HSEZT","Starpharma Holdings Ltd","20,000 Uts","-","-","-","-","-","-","-","-11.34","18,977.32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 10:13:24","Buy Trade","O4-FF-9HSEZT","T4-FF-6Q0TZ5","-","Starpharma Holdings Ltd","20,000 Uts","0.630","-","0.570","-","-","1","12,600.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23 May 2026 07:00:43","Holding Cost","1597905132","-","-","Account","-","-","-","-","-","-","-","-","-8.20","18,988.66","-","-","-","-","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23 May 2026 07:00:43","Holding Cost","O4-FE-9HNY7K","-","-","Dyno Nobel Ltd","-","-","-","-","-","-","-","-","-","-","-","-","14,660.00","-6.80170%","-8.20","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22 May 2026 15:38:53","Commission Charge","1597469882","-","O4-FE-9HNY7K","Dyno Nobel Ltd","4,000 Uts","-","-","-","-","-","-","-","-13.25","18,996.86","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22 May 2026 15:38:53","Buy Trade","O4-FE-9HNY7K","T4-FE-6PXSLN","-","Dyno Nobel Ltd","4,000 Uts","3.680","-","3.570","-","-","1","14,720.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 15:58:16","Commission Charge","1595796672","-","O4-FE-9HECV0","PLS Group Ltd","4,000 Uts","-","-","-","-","-","-","-","-21.67","19,010.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 15:58:16","Close Trade","O4-FE-9HECV0","T4-FE-6PPC4F","O4-FE-9HDKG6","PLS Group Ltd","4,000 Uts","6.020","-","-","-","-","-","24,080.00","-440.00","19,031.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 15:58:13","Commission Charge","1595796664","-","O4-FE-9HECTZ","NRW Holdings","2,000 Uts","-","-","-","-","-","-","-","-12.67","19,471.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 15:58:13","Close Trade","O4-FE-9HECTZ","T4-FE-6PPC4E","O4-FE-9HDMFE","NRW Holdings","2,000 Uts","7.040","-","-","-","-","-","14,080.00","60.00","19,484.45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 15:58:07","Commission Charge","1595796631","-","O4-FE-9HECTP","Metals X Ltd","10,000 Uts","-","-","-","-","-","-","-","-14.36","19,424.45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 15:58:07","Close Trade","O4-FE-9HECTP","T4-FE-6PPC3Z","O4-FE-9HDJ9T","Metals X Ltd","10,000 Uts","1.595","-","-","-","-","-","15,950.00","-500.00","19,438.81","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 15:58:01","Commission Charge","1595796617","-","O4-FE-9HECTK","Iluka Resources Ltd","2,000 Uts","-","-","-","-","-","-","-","-13.75","19,938.81","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 15:58:01","Close Trade","O4-FE-9HECTK","T4-FE-6PPC3V","O4-FE-9HDJ6H","Iluka Resources Ltd","2,000 Uts","7.640","-","-","-","-","-","15,280.00","-20.00","19,952.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 10:38:50","Commission Charge","1595719514","-","O4-FE-9HDMFE","NRW Holdings","2,000 Uts","-","-","-","-","-","-","-","-12.73","19,972.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 10:38:50","Sell Trade","O4-FE-9HDMFE","T4-FE-6PNPZ5","-","NRW Holdings","2,000 Uts","7.070","-","-","-","-","1","14,140.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 10:18:40","Commission Charge","1595712055","-","O4-FE-9HDKG6","PLS Group Ltd","4,000 Uts","-","-","-","-","-","-","-","-21.28","19,985.29","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 10:18:40","Sell Trade","O4-FE-9HDKG6","T4-FE-6PNN6Y","-","PLS Group Ltd","4,000 Uts","5.910","-","-","-","-","1","23,640.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 10:05:41","Commission Charge","1595707332","-","O4-FE-9HDJ9T","Metals X Ltd","10,000 Uts","-","-","-","-","-","-","-","-13.91","20,006.57","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 10:05:41","Sell Trade","O4-FE-9HDJ9T","T4-FE-6PNM1Y","-","Metals X Ltd","10,000 Uts","1.545","-","-","-","-","1","15,450.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 10:04:12","Commission Charge","1595707035","-","O4-FE-9HDJ6H","Iluka Resources Ltd","2,000 Uts","-","-","-","-","-","-","-","-13.73","20,020.48","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20 May 2026 10:04:12","Sell Trade","O4-FE-9HDJ6H","T4-FE-6PNLYS","-","Iluka Resources Ltd","2,000 Uts","7.630","-","7.730","-","-","1","15,260.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 15:41:17","Commission Charge","1594961600","-","O4-FE-9H8ZYN","Southern Cross Electrical Engineering LTD","2,500 Uts","-","-","-","-","-","-","-","-8.98","20,034.21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 15:41:17","Close Trade","O4-FE-9H8ZYN","T4-FE-6PKKJW","O4-FE-9H8G66","Southern Cross Electrical Engineering LTD","2,500 Uts","3.990","-","-","-","-","-","9,975.00","25.00","20,043.19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 15:41:12","Commission Charge","1594961585","-","O4-FE-9H8ZYJ","PLS Group Ltd","2,000 Uts","-","-","-","-","-","-","-","-10.60","20,018.19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 15:41:12","Close Trade","O4-FE-9H8ZYJ","T4-FE-6PKKJR","O4-FE-9H3G7Q","PLS Group Ltd","2,000 Uts","5.890","-","-","-","-","-","11,780.00","260.00","20,028.79","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 15:41:07","Commission Charge","1594961564","-","O4-FE-9H8ZYE","Liontown Ltd","10,000 Uts","-","-","-","-","-","-","-","-20.07","19,768.79","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 15:41:07","Close Trade","O4-FE-9H8ZYE","T4-FE-6PKKJM","O4-FE-9H3LMN","Liontown Ltd","10,000 Uts","2.230","-","-","-","-","-","22,300.00","800.00","19,788.86","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 15:12:10","Stop Loss Modified","O4-FE-9H3G7Q","-","O4-FE-9H8QQ0","PLS Group Ltd","2,000 Uts","6.020","-","5.950","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 15:05:11","Commission Charge","1594951773","-","O4-FE-9H8QRN","Nick Scali Ltd","1,000 Uts","-","-","-","-","-","-","-","-12.65","18,988.86","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 15:05:11","Stop Loss","O4-FE-9H3LWT","T4-FE-6PKHBE","-","Nick Scali Ltd","1,000 Uts","14.054","-","-","-","-","-","14,054.00","-118.00","19,001.51","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 13:02:52","Sell Trade Modified","O4-FE-9H3LWT","T4-FE-6PEW1L","-","Nick Scali Ltd","1,000 Uts","13.936","-","14.050","-","-","-","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 13:02:07","Sell Trade Modified","O4-FE-9H3G7Q","T4-FE-6PEQMG","-","PLS Group Ltd","2,000 Uts","6.020","-","6.100","-","-","-","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 13:01:31","Stop Loss Modified","O4-FE-9H3LMN","-","O4-FE-9H3Y2J","Liontown Ltd","10,000 Uts","2.310","-","2.246","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 10:44:00","Commission Charge","1594897823","-","O4-FE-9H8G66","Southern Cross Electrical Engineering LTD","2,500 Uts","-","-","-","-","-","-","-","-9.00","19,119.51","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 10:44:00","Sell Trade","O4-FE-9H8G66","T4-FE-6PK3Q3","-","Southern Cross Electrical Engineering LTD","2,500 Uts","4.000","-","4.120","-","-","1","10,000.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 10:23:43","Stop Loss Modified","O4-FE-9H3LMN","-","O4-FE-9H3Y2J","Liontown Ltd","10,000 Uts","2.310","-","2.291","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 07:00:51","Holding Cost","1594642810","-","-","Account","-","-","-","-","-","-","-","-","1.80","19,128.51","-","-","-","-","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 07:00:51","Holding Cost","O4-FE-9H3LMN","-","-","Liontown Ltd","-","-","-","-","-","-","-","-","-","-","-","-","23,150.00","-1.34750%","0.85","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 07:00:51","Holding Cost","O4-FE-9H3G7Q","-","-","PLS Group Ltd","-","-","-","-","-","-","-","-","-","-","-","-","11,970.00","-1.34750%","0.44","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19 May 2026 07:00:51","Holding Cost","O4-FE-9H3LWT","-","-","Nick Scali Ltd","-","-","-","-","-","-","-","-","-","-","-","-","13,715.00","-1.34750%","0.51","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
